seed,system,task,r2,tier,symbolic,numerical,max_err,ground_truth,found_expression,detail
42,hypatiax,N1,1.0,SYMBOLIC,True,False,nan,x**3 + x**2 + x,-x*(-x*(x + 0.85552055) + x*(-0.14447945)) + x,"simplify→0 [positive domain, 0.1s]"
42,hypatiax,N2,0.9999999999999999,NUMERICAL,False,True,3.07668592824939e-08,x**4 + x**3 + x**2 + x,(x + 1.0)*0.99999994*(x*0.99999994*x*(-x + x + 1.0000001)**0.64496565 + 1.0000001)*x,simplify≠0 | max_err=3.08e-08 on 1000 pts
42,hypatiax,N3,0.9999999999999993,NUMERICAL,False,True,1.1973161129219534e-07,x**5 + x**4 + x**3 + x**2 + x,x*x*(x + 1.0)*(x*x + 0.99999994) + x,simplify≠0 | max_err=1.20e-07 on 1000 pts
42,hypatiax,N4,1.0,NUMERICAL,False,True,8.881784197001252e-16,x**6 + x**5 + x**4 + x**3 + x**2 + x,-x + x + (x**3.0 + x/x)*(x + x*x + x**3.0),simplify≠0 | max_err=8.88e-16 on 1000 pts
42,hypatiax,N5,1.0,SYMBOLIC,True,False,nan,sin(x**2) * cos(x) - 1,sin(x*x)*cos(x) - 1.0,"simplify→0 [positive domain, 0.0s]"
42,hypatiax,N6,1.0,NUMERICAL,False,True,0.0,sin(x) + sin(x + x**2),sin(x) + sin(x + x**2.0),simplify≠0 | max_err=0.00e+00 on 1000 pts
42,hypatiax,N7,1.0,NUMERICAL,False,True,9.232221653832084e-09,log(x + 1) + log(x**2 + 1),log(x*(sqrt(x**1.9999999) + sqrt(x**4.0)) + x + 1.0),simplify≠0 | max_err=9.23e-09 on 1000 pts
42,hypatiax,N8,0.9999999999999989,NUMERICAL,False,True,6.882766691251874e-06,sqrt(x),sqrt(x - 6.205296e-9/(2*x - 3.809732) + 6.205296e-9/(x - 1.1091232)),simplify≠0 | max_err=6.88e-06 on 1000 pts
42,hypatiax,N9,1.0,NUMERICAL,False,True,0.0,sin(x) + sin(y**2),sin(x) + sin(y**2.0),simplify≠0 | max_err=0.00e+00 on 1000 pts
42,hypatiax,N10,0.9999999999999977,NUMERICAL,False,True,1.21860212476399e-07,2 * sin(x) * cos(y),(3.290958e-8*x + cos(y + (-x + sin((0.16578126 - x)/(-2.7196773e-8)))*(-2.7900551e-8)))*2.0*sin(x),simplify≠0 | max_err=1.22e-07 on 1000 pts
42,hypatiax,N11,0.9999999999999989,SYMBOLIC,True,False,nan,x**y,x**y,"simplify→0 [positive domain, 0.0s]"
42,hypatiax,N12,1.0,NUMERICAL,False,True,4.440892098500626e-16,x**4 - x**3 + y**2 / 2 - y,x**4.0 - y + y**2.0/2.0 - (x**3.0 + 0.04132407) + 0.04132407,simplify≠0 | max_err=4.44e-16 on 1000 pts
42,pysr,N1,0.9999999999999999,NUMERICAL,False,True,1.4886660348878422e-08,x**3 + x**2 + x,x*(x + x*x + 0.0026451796) + x*(-0.0026451945) + x,simplify≠0 | max_err=1.49e-08 on 1000 pts
42,pysr,N2,0.9999999999999996,NUMERICAL,False,True,7.713845961987431e-08,x**4 + x**3 + x**2 + x,x*x*(x + 4.116129e-8)*(x + 1.0) + x + x*x - 0.008593438 + 0.008593433,simplify≠0 | max_err=7.71e-08 on 1000 pts
42,pysr,N3,0.9999999999999993,NUMERICAL,False,True,1.1973161129219534e-07,x**5 + x**4 + x**3 + x**2 + x,x*x*(x + 1.0)*(x*x + 0.99999994) + x,simplify≠0 | max_err=1.20e-07 on 1000 pts
42,pysr,N4,0.9999999597819633,FAIL,False,False,0.006999991449171183,x**6 + x**5 + x**4 + x**3 + x**2 + x,x*(exp(sin(x*x - 1*0.545343)) - 0.119447425)*(-(-1)*2.0907333*x + cos(cos(7.875238**x))*0.0076707443 + 2.0865917),simplify≠0 | max_err=7.00e-03 on 1000 pts
42,pysr,N5,1.0,SYMBOLIC,True,False,nan,sin(x**2) * cos(x) - 1,sin(x*x)*cos(x) - 1.0,"simplify→0 [positive domain, 0.0s]"
42,pysr,N6,1.0,SYMBOLIC,True,False,nan,sin(x) + sin(x + x**2),sin(x) + sin(x*x + x),"simplify→0 [positive domain, 0.0s]"
42,pysr,N7,0.999999992607066,NUMERICAL,False,True,0.00031321940410204176,log(x + 1) + log(x**2 + 1),x*(x - 0.17798162 + x**(-0.06007283/x**log(cos(log(x + cos(x**(0.7793817*x)))))))**(0.5443648**x),simplify≠0 | max_err=3.13e-04 on 1000 pts
42,pysr,N8,1.0,SYMBOLIC,True,False,nan,sqrt(x),sqrt(x),"simplify→0 [positive domain, 0.0s]"
42,pysr,N9,0.9999999999999992,NUMERICAL,False,True,1.6000000005456094e-08,sin(x) + sin(y**2),sin(x) + sin(y*y) - 0.020993356 + 0.02099334,simplify≠0 | max_err=1.60e-08 on 1000 pts
42,pysr,N10,0.9999999999999977,NUMERICAL,False,True,1.21860212476399e-07,2 * sin(x) * cos(y),(3.290958e-8*x + cos(y + (-x + sin((0.16578126 - x)/(-2.7196773e-8)))*(-2.7900551e-8)))*2.0*sin(x),simplify≠0 | max_err=1.22e-07 on 1000 pts
42,pysr,N11,0.9999999999999994,NUMERICAL,False,True,4.364009316137896e-05,x**y,(x + 1.4244393e-8/y)**(-4.2193147e-9*x/(log(y) - 0.09070143) + y),simplify≠0 | max_err=4.36e-05 on 1000 pts
42,pysr,N12,1.0,SYMBOLIC,True,False,nan,x**4 - x**3 + y**2 / 2 - y,x*x*x*(x - 1.0) - y + y*y*0.5,"simplify→0 [positive domain, 0.0s]"
