seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
777,N1,1,1,1,1,208.2650716304779,178.07525539398193,1.3228134e-15,1.3015847e-15,(0.99993646 * (((x * x) * 1.0000635) * x)) + (x + ((((0.99993646 * x) * (x * 1.0000635)) * (((x * 0.99993646) + -1.4629521e-8) / x)) * 1.0000635)),(((((1.6114198e-9 / (0.6870121 - x)) + (x * x)) / x) * (x * x)) - 3.9715022e-9) + (x + ((((x * x) * x) / x) + 4.7849764e-9)),False,True,used,pysr_warm_start,True
777,N10,1,1,1,1,278.4332995414734,278.4332995414734,1.4760983e-15,1.4760983e-15,(sin(x) + sin(x)) * (cos(y + -1.8862588e-8) - ((-1.8862588e-8 - ((y * -1.7606984e-8) / sqrt(1.0328339 - x))) * exp(sin((0.13994645 / y) - 0.8976202)))),(sin(x) + sin(x)) * (cos(y + -1.8862588e-8) - ((-1.8862588e-8 - ((y * -1.7606984e-8) / sqrt(1.0328339 - x))) * exp(sin((0.13994645 / y) - 0.8976202)))),True,True,no_candidates_returned,pysr_cold_copy,False
777,N11,1,1,1,1,329.3146975040436,379.4320158958435,3.6756113e-16,3.0366062e-16,(x ^ y) + ((((((x + 0.9873844) ^ exp(cos(exp(y) * ((x + 0.97392124) * x)))) - sqrt(y)) + sqrt(x)) + sqrt(x)) * 7.403857e-9),(x ^ (y + (2.3195687e-8 * (exp(x ^ (sin(cos(y)) + x)) + ((y ^ (0.633057 + sin(y / 5.380399e-16))) / sin(log(x))))))) + 7.761758e-9,False,True,used,pysr_warm_start,True
777,N12,1,1,1,,209.39166355133057,,2.276754e-15,0.0005448078,((((x ^ 4.0) * cos(x * 0.0002655826)) + ((y ^ 2.0) / 2.0)) - (x ^ 3.0)) - (y * cos((sin(y) - (x + y)) * 0.0002655826)),(0.026385466 ^ sin(sin(sin(sin(sin(sin(sin(sin(sin(x - -0.7645754)))))))))) - ((0.8056958 ^ cos(exp(exp(sin(sin(sin(y * 0.37075093))))))) - (0.41441715 ^ y)),False,False,used,pysr_warm_start,True
777,N2,1,1,1,1,201.54412293434143,210.8059754371643,2.1812047e-15,2.234309e-15,((x * x) * (x * (0.99999994 ^ sin(x * x)))) + (((x * x) + x) + ((x * (x * ((x * 1.9959284) * x))) * 0.50101995)),((x * (x + ((((((x * x) * ((exp(x) * -3.6763357e-8) + x)) + (x * x)) * x) / x) + 0.5844483))) + x) - (x * 0.5844483),False,True,used,pysr_warm_start,True
777,N3,1,1,1,1,238.6112859249115,193.83780217170715,4.693213e-15,4.701621e-15,((x ^ 3.0) + (((x ^ 4.0) / (((x * x) / x) / x)) + x)) + ((x ^ 5.0) + (((x * x) / x) ^ 2.0)),(((((x * 0.8761212) * x) + (x + ((x * x) * (x + 0.12387877)))) * x) * x) + ((x + ((x * x) + -2.9551882e-7)) + 2.9251336e-7),False,True,used,pysr_warm_start,True
777,N4,1,1,1,1,283.4677152633667,350.2002124786377,6.5765535e-15,6.6267454e-08,(((((x ^ 2.0) ^ 3.0) + (x + (x ^ 2.0))) + (((x ^ 4.0) + (x ^ 3.0)) + (x ^ 5.0))) * sin(x)) / sin(x),((x + 1.00001) * x) * (((3.8239167 ^ sin((x * (x * 0.8534717)) + -0.3257421)) * 1.5273468) + (cos((0.08794636 / x) + (x / 0.07944752)) * -0.0018954725)),False,False,used,pysr_warm_start,True
777,N5,1,1,1,1,198.42290616035461,189.77285289764404,4.2188474e-16,4.6629365e-16,((((cos(x) * x) * sin(((x * x) * x) / x)) / x) - 0.89087164) + (((x * ((x / x) / x)) * 0.107224315) + -0.21635267),(((sin(((x * x) * x) / x) * (x * cos(x))) / x) - 0.88117003) + -0.11882998,False,True,used,pysr_warm_start,True
777,N6,1,1,1,1,239.41480541229248,258.4700229167938,1.4208266e-15,1.4676805e-15,sin((((x + 1.6064504e-8) * x) + ((x * 1.13262075e-8) * (-2.9311764 - x))) + x) + sin(x + (x * (x - ((x * x) / x)))),(sin((((1.491381e-9 / (x - cos(x))) + ((((1.491381e-9 / (0.86141425 - x)) + x) * (x * 1.1635146)) - 3.144071e-9)) / 1.1635146) + x) + 6.288142e-9) + sin(x),False,True,used,pysr_warm_start,True
777,N7,1,1,1,1,281.4444353580475,518.6338894367218,2.858835e-15,4.2239132e-10,log((((x * x) * (x + -1.01919085e-7)) + (((x + x) + ((x + -5.9568514e-8) * x)) - (x + -8.942383e-8))) + 0.99999994),(1.4018648 ^ sin(sqrt(log(log(exp(exp(x) ^ (sin((x ^ ((1.4173708 / (sin(x * 0.6232789) + 1.4025213)) + -0.027104016)) / 1.0138566) * 2.0671003))))))) * x,False,False,used,pysr_warm_start,True
777,N8,1,1,1,1,209.9822587966919,214.04793787002563,8.881784e-16,1.110223e-15,sqrt(sqrt((x * x) * ((sqrt(x) * (sqrt(x) / x)) ^ cos((((x ^ x) * -0.75044906) - (0.79424435 / x)) / (0.1329049 - x))))),sqrt(x - (((-1.7632651e-9 / (x + -3.0930867)) / sin((x + -0.38886914) / -1.7632651e-9)) + (-1.7632651e-9 / (x + -2.0930867)))),True,True,used,pysr_warm_start,True
