seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
2024,N1,105,111,False,False,,,,,,,,,,,,,
2024,N10,186,176,False,False,,,,,,,,,,,,,
2024,N11,155,230,False,False,,,,,,,,,,,,,
2024,N12,0,119,False,False,,,,,,,,,,,,,
2024,N2,99,99,False,False,,,,,,,,,,,,,
2024,N3,104,206,False,False,,,,,,,,,,,,,
2024,N4,161,182,False,False,,,,,,,,,,,,,
2024,N5,197,242,False,False,,,,,,,,,,,,,
2024,N6,155,153,False,False,,,,,,,,,,,,,
2024,N7,126,171,False,False,,,,,,,,,,,,,
2024,N8,168,173,False,False,,,,,,,,,,,,,
2024,N9,172,151,False,False,,,,,,,,,,,,,
