seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
99,N1,140,143,False,False,,,,,,,,,,,,,
99,N10,200,198,False,False,,,,,,,,,,,,,
99,N11,207,176,False,False,,,,,,,,,,,,,
99,N12,0,128,False,False,,,,,,,,,,,,,
99,N2,142,139,False,False,,,,,,,,,,,,,
99,N3,122,117,False,False,,,,,,,,,,,,,
99,N4,187,160,False,False,,,,,,,,,,,,,
99,N5,0,210,False,False,,,,,,,,,,,,,
99,N6,159,167,False,False,,,,,,,,,,,,,
99,N7,129,185,False,False,,,,,,,,,,,,,
99,N8,176,159,False,False,,,,,,,,,,,,,
99,N9,158,185,False,False,,,,,,,,,,,,,
